top - 13:06:54 up 41 min,  1 user,  load average: 0.46, 0.33, 0.44
Tasks: 176 total,   1 running, 130 sleeping,   0 stopped,   1 zombie
%Cpu(s): 15.2 us,  3.8 sy,  3.3 ni, 68.3 id,  9.3 wa,  0.0 hi,  0.1 si,  0.0 st
KiB Mem :  8168452 total,  5246948 free,   877872 used,  2043632 buff/cache
KiB Swap:  4194300 total,  4194300 free,        0 used.  6926056 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S %CPU %MEM     TIME+ COMMAND
 2701 jmeter+   20   0  206972   5328   4836 S  0.0  0.1   0:00.15 at-spi2-registr
 2707 jmeter+   20   0  632024  14828  12716 S  0.0  0.2   0:00.25 gnome-session-b
 2716 jmeter+   20   0  563344  30400  25012 S  0.0  0.4   0:01.13 unity-panel-ser
 2757 root      20   0  347140   9840   8576 S  0.0  0.1   0:00.22 upowerd
 2771 jmeter+   20   0  178768   4704   4052 S  0.0  0.1   0:00.22 dconf-service
 2838 jmeter+   20   0  354420   7088   6288 S  0.0  0.1   0:00.02 indicator-messa
 2839 jmeter+   20   0  407116   5728   5140 S  0.0  0.1   0:00.01 indicator-bluet
 2840 jmeter+   20   0  503804   9080   6448 S  0.0  0.1   0:00.12 indicator-power
 2841 jmeter+   20   0  774220  16400  13932 S  0.0  0.2   0:00.23 indicator-datet
 2842 jmeter+   20   0  649056  26736  21628 S  0.0  0.3   0:00.37 indicator-keybo
 2843 jmeter+   20   0  745164  10432   9100 S  0.0  0.1   0:00.07 indicator-sound
 2844 jmeter+   20   0  547532  23512  19632 S  0.0  0.3   0:00.20 indicator-print
 2845 jmeter+   20   0  625196   6728   5804 S  0.0  0.1   0:00.06 indicator-sessi
 2852 jmeter+   20   0       0      0      0 Z  0.0  0.0   0:00.09 check_gl_textur
 2856 jmeter+   20   0  403148  12796  11328 S  0.0  0.2   0:00.05 indicator-appli
 2888 jmeter+   20   0  188388   5944   5540 S  0.0  0.1   0:01.01 ibus-engine-sim
 2894 jmeter+    9 -11  435048  11288   8368 S  0.0  0.1   0:00.55 pulseaudio
